1362, 340, 409, 165, 136, 108, 2, 81
1265, 326, 460, 193, 125, 142, 4, 57
1368, 569, 440, 193, 156, 91, 1, 78
1336, 480, 535, 225, 177, 133, 4, 63
1335, 329, 395, 200, 69, 126, 4, 67
1401, 385, 412, 156, 140, 116, 4, 66
1312, 376, 504, 152, 117, 107, 2, 62
1333, 305, 385, 235, 58, 93, 3, 65
1345, 315, 391, 149, 128, 114, 4, 67
1291, 325, 433, 204, 110, 119, 5, 56
1309, 286, 399, 193, 84, 122, 3, 71
1285, 325, 454, 228, 105, 121, 3, 65
1348, 300, 392, 173, 119, 100, 0, 83
1392, 328, 366, 161, 113, 92, 2, 64
1363, 328, 403, 194, 96, 113, 1, 75
1364, 311, 311, 237, 52, 97, 1, 68
1330, 344, 442, 183, 165, 94, 4, 73
1331, 297, 456, 193, 130, 133, 2, 84
1361, 330, 409, 223, 71, 155, 0, 78
1252, 239, 427, 189, 125, 113, 0, 74
1440, 469, 437, 236, 106, 95, 3, 67
1358, 466, 462, 173, 168, 121, 2, 87 
1348, 363, 386, 213, 54, 119, 1, 75
1396, 348, 390, 198, 98, 94, 1, 69
1440, 424, 400, 169, 120, 111, 3, 59
1397, 464, 478, 238, 150, 90, 3, 61
1387, 352, 405, 158, 169, 68, 0, 59
1437, 300, 303, 137, 101, 65, 0, 32
1271, 172, 330, 149, 108, 63, 1, 42
1310, 300, 412, 214, 143, 55, 3, 52
1296, 342, 344, 133, 159, 52, 3, 45
1320, 344, 452, 267, 118, 67, 4, 56
1327, 326, 429, 221, 146, 62, 2, 57
1328, 347, 438, 276, 75, 87, 4, 50
1348, 300, 392, 173, 119, 100, 0, 63
1342, 280, 351, 200, 100, 51, 2, 46
1323, 328, 340, 159, 134, 47, 4, 42
1351, 389, 449, 170, 211, 65, 4, 51
1392, 328, 366, 161, 113, 92, 2, 59
1380, 328, 385, 212, 100, 73, 3, 54
1363, 328, 403, 194, 96, 113, 1, 65
1364, 311, 386, 237, 52, 97, 1, 69
1330, 344, 442, 183, 165, 94, 4, 56
1320, 411, 496, 247, 172, 79, 2, 52
1331, 357, 456, 193, 130, 133, 2, 71
1412, 360, 387, 161, 147, 79, 1, 46
1329, 345, 455, 219, 156, 80, 1, 43
1352, 358, 418, 191, 180, 47, 3, 37
1346, 444, 491, 235, 197, 59, 3, 42
1361, 330, 409, 223, 71, 115, 0, 49
1315, 269, 394, 155, 188, 51, 0, 36
1340, 330, 411, 173, 161, 77, 3, 46
1304, 350, 475, 301, 132, 42, 2, 39
1325, 315, 419, 171, 176, 72, 2, 43
1298, 347, 158, 188, 225, 45, 3, 35
1321, 293, 403, 166, 150, 87, 1, 48
1243, 280, 469, 198, 188, 83, 1, 46
1252, 239, 427, 189, 125, 113, 0, 56
1291, 359, 344, 145, 145, 54, 1, 46
1311, 333, 424, 257, 103, 64, 3, 35
1359, 251, 331, 191, 86, 54, 1, 37
1318, 358, 466, 257, 131, 78, 3, 44
1340, 490, 550, 214, 192, 144, 4, 65
1246, 292, 453, 213, 131, 109, 5, 72
